sample_id,sample_name,Condition,TimePoint,Replicate,illumina_r1,illumina_r2,Genome PTR,Ori/Ter PTR,OD600, Notes,CFU/ml,Sample ID,qPCR_PTR,TimePoint(Hrs),dlog(CFUml) /dt,log10 CFU/ml,dlog(CFUml) /dt log,dlog(OD) /dt
HM86_LB2-T_O-N,HM86,LB2,0,a,HM86_LB2-T_O-N_R1.fastq.gz,HM86_LB2-T_O-N_R2.fastq.gz,1.046206,1.445131,0.053,LB_Rep2,3.20E+07,8399-SP-21,1,0,2.48E-01,7.505149978,1.42E-02,0.730188452
HM86_LB2-T1a,HM86,LB2,T1a,a,HM86_LB2-T1a_R1.fastq.gz,HM86_LB2-T1a_R2.fastq.gz,1.847941,2.053204,0.11,LB_Rep2,4.10E+07,8399-SP-22,2.726512,1,-5.27E-01,7.612783857,-3.03E-02,1.689394157
HM86_LB2-T1b,HM86,LB2,T1b,b,HM86_LB2-T1b_R1.fastq.gz,HM86_LB2-T1b_R2.fastq.gz,1.622802,2.188452,0.256,LB_Rep2,3.15E+07,8399-SP-23,2.684094,1.5,9.24E-01,7.498310554,5.28E-02,1.983028306
HM86_LB2-T2a,HM86,LB2,T2a,a,HM86_LB2-T2a_R1.fastq.gz,HM86_LB2-T2a_R2.fastq.gz,1.57078,1.990697,0.69,LB_Rep2,5.00E+07,8399-SP-24,2.226697,2,3.18E+00,7.698970004,1.72E-01,1.156155702
HM86_LB2-T2b,HM86,LB2,T2b,b,HM86_LB2-T2b_R1.fastq.gz,HM86_LB2-T2b_R2.fastq.gz,1.537796,1.71887,1.23,LB_Rep2,2.45E+08,8399-SP-25,2.01227,2.5,2.09E+00,8.389166084,1.05E-01,0.982241105
HM86_LB2-T3a,HM86,LB2,T3a,a,HM86_LB2-T3a_R1.fastq.gz,HM86_LB2-T3a_R2.fastq.gz,1.504473,1.757682,2.01,LB_Rep2,6.95E+08,8399-SP-26,1.78578,3,2.99E+00,8.841984805,1.42E-01,0.69133866
HM86_LB2-T3b,HM86,LB2,T3b,b,HM86_LB2-T3b_R1.fastq.gz,HM86_LB2-T3b_R2.fastq.gz,1.29868,1.469465,2.84,LB_Rep2,3.10E+09,8399-SP-27,1.536281,3.5,4.07E-01,9.491361694,1.85E-02,0.423623971
HM86_LB2-T4,HM86,LB2,T4,a,HM86_LB2-T4_R1.fastq.gz,HM86_LB2-T4_R2.fastq.gz,1.241241,1.638879,3.51,LB_Rep2,3.80E+09,8399-SP-28,1.439564,4,3.79E-01,9.579783597,1.70E-02,0.248461359
HM86_LB2-T5,HM86,LB2,T5,a,HM86_LB2-T5_R1.fastq.gz,HM86_LB2-T5_R2.fastq.gz,1.109035,1.396031,4.5,LB_Rep2,5.55E+09,8399-SP-29,1.098932,5,1.35E-01,9.744292983,5.98E-03,0.178610977
HM86_LB2-T6,HM86,LB2,T6,a,HM86_LB2-T6_R1.fastq.gz,HM86_LB2-T6_R2.fastq.gz,1.076303,1.158851,5.38,LB_Rep2,6.35E+09,8399-SP-30,1.054696,6,,9.802773725,,
