sample_id,sample_name,Condition,TimePoint,Replicate,illumina_r1,illumina_r2,Genome PTR,Ori/Ter PTR,OD600, Notes,CFU/ml,Sample ID,qPCR_PTR,TimePoint(Hrs),dlog(CFUml) /dt,log10 CFU/ml,dlog(CFUml) /dt log,dlog(OD) /dt
HM86_TB1-T_O-N,HM86,TB1,0,a,HM86_TB1-T_O-N_R1.fastq.gz,HM86_TB1-T_O-N_R2.fastq.gz,1.106649,1.353744,0.139,TB_Rep1,5.70E+07,8399-SP-11,1,0,1.15E+00,7.755874856,6.24E-02,1.086549416
HM86_TB1-T1a,HM86,TB1,T1a,a,HM86_TB1-T1a_R1.fastq.gz,HM86_TB1-T1a_R2.fastq.gz,1.658479,2.464823,0.412,TB_Rep1,1.80E+08,8399-SP-12,2.653156,1,5.48E-02,8.255272505,2.88E-03,1.464829138
HM86_TB1-T1b,HM86,TB1,T1b,b,HM86_TB1-T1b_R1.fastq.gz,HM86_TB1-T1b_R2.fastq.gz,1.667009,2.216889,0.857,TB_Rep1,1.85E+08,8399-SP-13,2.813042,1.5,3.98E+00,8.267171728,1.99E-01,2.227335163
HM86_TB1-T2a,HM86,TB1,T2a,a,HM86_TB1-T2a_R1.fastq.gz,HM86_TB1-T2a_R2.fastq.gz,1.537889,2.314612,2.61,TB_Rep1,1.35E+09,8399-SP-14,2.283081,2,3.08E+00,9.130333768,1.41E-01,0.917854371
HM86_TB1-T2b,HM86,TB1,T2b,b,HM86_TB1-T2b_R1.fastq.gz,HM86_TB1-T2b_R2.fastq.gz,1.435023,1.717293,4.13,TB_Rep1,6.30E+09,8399-SP-15,1.625358,2.5,5.75E-01,9.799340549,2.53E-02,0.723493612
HM86_TB1-T3a,HM86,TB1,T3a,a,HM86_TB1-T3a_R1.fastq.gz,HM86_TB1-T3a_R2.fastq.gz,1.336226,1.808322,5.93,TB_Rep1,8.40E+09,8399-SP-16,1.463022,3,3.49E-01,9.924279286,1.52E-02,-0.037447903
HM86_TB1-T3b,HM86,TB1,T3b,b,HM86_TB1-T3b_R1.fastq.gz,HM86_TB1-T3b_R2.fastq.gz,1.19199,1.534657,5.82,TB_Rep1,1.00E+10,8399-SP-17,1.2385,3.5,2.44E-01,10,1.06E-02,0.278627225
HM86_TB1-T4,HM86,TB1,T4,a,HM86_TB1-T4_R1.fastq.gz,HM86_TB1-T4_R2.fastq.gz,1.190352,1.374964,6.69,TB_Rep1,1.13E+10,8399-SP-18,1.158429,4,8.48E-02,10.05307844,3.66E-03,0.252310444
HM86_TB1-T5,HM86,TB1,T5,a,HM86_TB1-T5_R1.fastq.gz,HM86_TB1-T5_R2.fastq.gz,1.118347,1.342817,8.61,TB_Rep1,1.23E+10,8399-SP-19,1.08535,5,1.60E+00,10.08990511,6.67E-02,0.088848635
HM86_TB1-T6,HM86,TB1,T6,a,HM86_TB1-T6_R1.fastq.gz,HM86_TB1-T6_R2.fastq.gz,1.16422,1.441344,9.41,TB_Rep1,6.10E+10,8399-SP-20,1.054759,6,,10.78532984,,
