sample_id,sample_name,Condition,TimePoint,Replicate,illumina_r1,illumina_r2,Genome PTR,Ori/Ter PTR,OD600, Notes,CFU/ml,Sample ID,qPCR_PTR,TimePoint(Hrs),dlog(CFUml) /dt,log10 CFU/ml,dlog(CFUml) /dt log,dlog(OD) /dt
HM86_LB3-T_O-N,HM86,LB3,0,a,HM86_LB3-T_O-N_R1.fastq.gz,HM86_LB3-T_O-N_R2.fastq.gz,1.05187,1.238899,0.052,LB_Rep3,3.60E+07,8399-SP-41,1.000096,0,,7.556302501,1.02E-02,1.148622709
HM86_LB3-T1a,HM86,LB3,T1a,a,HM86_LB3-T1a_R1.fastq.gz,HM86_LB3-T1a_R2.fastq.gz,1.468836,1.900924,0.164,LB_Rep3,4.30E+07,8399-SP-42,2.107693,1,-1.63E+00,7.633468456,-9.52E-02,1.398452453
HM86_LB3-T1b,HM86,LB3,T1b,b,HM86_LB3-T1b_R1.fastq.gz,HM86_LB3-T1b_R2.fastq.gz,1.581947,1.896788,0.33,LB_Rep3,1.90E+07,8399-SP-43,2.45894,1.5,3.51E+00,7.278753601,1.99E-01,1.615115063
HM86_LB3-T2a,HM86,LB3,T2a,a,HM86_LB3-T2a_R1.fastq.gz,HM86_LB3-T2a_R2.fastq.gz,1.43165,1.672607,0.74,LB_Rep3,1.10E+08,8399-SP-44,1.986995,2,2.17E+00,8.041392685,1.14E-01,1.591602669
HM86_LB3-T2b,HM86,LB3,T2b,b,HM86_LB3-T2b_R1.fastq.gz,HM86_LB3-T2b_R2.fastq.gz,1.381476,1.654863,1.64,LB_Rep3,3.25E+08,8399-SP-45,1.786211,2.5,3.19E+00,8.511883361,1.56E-01,0.761544991
HM86_LB3-T3a,HM86,LB3,T3a,a,HM86_LB3-T3a_R1.fastq.gz,HM86_LB3-T3a_R2.fastq.gz,1.319381,1.683682,2.4,LB_Rep3,1.60E+09,8399-SP-46,1.661598,3,1.15E+00,9.204119983,5.38E-02,0.392229758
HM86_LB3-T3b,HM86,LB3,T3b,b,HM86_LB3-T3b_R1.fastq.gz,HM86_LB3-T3b_R2.fastq.gz,1.235798,1.514822,2.92,LB_Rep3,2.85E+09,8399-SP-47,1.419815,3.5,-2.22E-01,9.45484486,-1.02E-02,0.29849261
HM86_LB3-T4,HM86,LB3,T4,a,HM86_LB3-T4_R1.fastq.gz,HM86_LB3-T4_R2.fastq.gz,1.18637,1.524464,3.39,LB_Rep3,2.55E+09,8399-SP-48,1.270381,4,5.68E-01,9.40654018,2.59E-02,0.303050103
HM86_LB3-T5,HM86,LB3,T5,a,HM86_LB3-T5_R1.fastq.gz,HM86_LB3-T5_R2.fastq.gz,1.099214,1.283201,4.59,LB_Rep3,4.50E+09,8399-SP-49,1.108836,5,1.82E-01,9.653212514,8.17E-03,0.036367644
HM86_LB3-T6,HM86,LB3,T6,a,HM86_LB3-T6_R1.fastq.gz,HM86_LB3-T6_R2.fastq.gz,1.079235,1.231905,4.76,LB_Rep3,5.40E+09,8399-SP-50,1.006101,6,,9.73239376,,
